		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.046875	M = 32	N = 8	m = 9	n = 256
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101010100    0    0    0    0    0    1    0    0 15.288889 0.053766 SUCCESS  85
101011000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  86
101011100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  87
101100000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  88
101100100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  89
101101000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  90
101101100    0    0    0    0    0    0    0    2 63.385859 0.000000 FAILURE  91
101110000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  92
101110100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  93
101111000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  94
101111100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  95
110000000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  96
110000010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  97
110000100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  98
110001000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  99
110001010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 100
110010000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 101
110010010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 102
110010100    0    0    0    0    0    0    0    1 15.288889 0.053766 SUCCESS 103
110011000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 104
110011010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 105
110100000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 106
110100010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 107
110100100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 108
110101000    0    0    0    0    1    0    0    0 15.288889 0.053766 SUCCESS 109
110101010    0    0    0    0    0    1    0    0 15.288889 0.053766 SUCCESS 110
110101100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 111
110110000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 112
110110010    1    0    0    0    0    0    0    0 15.288889 0.053766 SUCCESS 113
110110100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 114
110111000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 115
110111010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 116
110111100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 117
111000000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 118
111000010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 119
111000100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 120
111000110    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 121
111001000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 122
111001010    0    0    0    0    0    0    1    1 30.286869 0.000188 FAILURE 123
111001100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 124
111010000    1    0    0    0    0    0    0    0 15.288889 0.053766 SUCCESS 125
111010010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 126
111010100    0    0    0    1    0    0    0    0 15.288889 0.053766 SUCCESS 127
111010110    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 128
111011000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 129
111011010    0    0    0    0    1    0    0    0 15.288889 0.053766 SUCCESS 130
111011100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 131
111100000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 132
111100010    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 133
111100100    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 134
111100110    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 135
111101000    1    0    0    0    0    0    0    0 15.288889 0.053766 SUCCESS 136
111101010    0    0    0    1    0    0    0    0 15.288889 0.053766 SUCCESS 137
111101100    1    1    0    0    0    0    0    0 30.286869 0.000188 FAILURE 138
111101110    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 139
111110000    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS 140
111110010    0    0    0    0    0    0    1    0 15.288889 0.053766 SUCCESS 141
111110100    0    0    0    0    0    0    1    0 15.288889 0.053766 SUCCESS 142
111110110    1    0    0    0    1    0    0    0 30.286869 0.000188 FAILURE 143
111111000    0    0    0    1    0    0    0    0 15.288889 0.053766 SUCCESS 144
111111010    0    0    1    0    0    0    1    0 30.286869 0.000188 FAILURE 145
111111100    0    0    0    1    0    0    1    0 30.286869 0.000188 FAILURE 146
111111110    0    0    0    1    1    0    1    0 45.284848 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.046875	M = 32	N = 8	m = 9	n = 256
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   0
000000011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   1
000000101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   2
000000111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   3
000001001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   4
000001011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   5
000001101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   6
000001111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   7
000010001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   8
000010011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS   9
000010101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  10
000010111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  11
000011001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  12
000011011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  13
000011101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  14
000011111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  15
000100011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  16
000100101    0    0    0    0    0    0    1    0 15.288889 0.053766 SUCCESS  17
000100111    0    0    0    0    0    1    0    0 15.288889 0.053766 SUCCESS  18
000101001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  19
000101011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  20
000101101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  21
000101111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  22
000110011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  23
000110101    0    1    0    0    0    0    0    0 15.288889 0.053766 SUCCESS  24
000110111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  25
000111001    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  26
000111011    0    0    0    0    0    0    0    1 15.288889 0.053766 SUCCESS  27
000111101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  28
000111111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  29
001000011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  30
001000101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  31
001000111    0    0    0    0    0    0    0    1 15.288889 0.053766 SUCCESS  32
001001011    0    0    0    0    0    0    1    0 15.288889 0.053766 SUCCESS  33
001001101    0    0    0    0    1    0    0    0 15.288889 0.053766 SUCCESS  34
001001111    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  35
001010011    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  36
001010101    0    0    0    0    0    0    0    0  0.290909 0.999983 SUCCESS  37
